candidate_id,website,metric_id,raw_score,decision_status,source_ids
P-007,kupit-minitraktor.ru,M05,10,VERIFIED_BY_SPECIFICATION,"SRC-P-007-01"
P-007,kupit-minitraktor.ru,M06,10,VERIFIED_BY_SPECIFICATION,"SRC-P-007-01"
P-007,kupit-minitraktor.ru,M07,0,VERIFIED_BY_SPECIFICATION,"SRC-P-007-01"
P-007,kupit-minitraktor.ru,M08,0,VERIFIED_BY_SPECIFICATION,"SRC-P-007-01"
P-008,kupit-minitraktor.ru,M01,6,VERIFIED_BY_SPECIFICATION,"SRC-P-008-01"
P-008,kupit-minitraktor.ru,M02,6,VERIFIED_BY_SPECIFICATION,"SRC-P-008-01"
P-008,kupit-minitraktor.ru,M03,6,VERIFIED_BY_SPECIFICATION,"SRC-P-008-01"
P-008,kupit-minitraktor.ru,M04,6,VERIFIED_BY_SPECIFICATION,"SRC-P-008-01"
P-008,kupit-minitraktor.ru,M05,6,VERIFIED_BY_SPECIFICATION,"SRC-P-008-01"
P-008,kupit-minitraktor.ru,M06,6,VERIFIED_BY_SPECIFICATION,"SRC-P-008-01"
P-008,kupit-minitraktor.ru,M07,4,VERIFIED_BY_SPECIFICATION,"SRC-P-008-01"
P-008,kupit-minitraktor.ru,M08,4,VERIFIED_BY_SPECIFICATION,"SRC-P-008-01"
P-009,kupit-minitraktor.ru,M01,6,VERIFIED_BY_SPECIFICATION,"SRC-P-009-01"
P-009,kupit-minitraktor.ru,M02,6,VERIFIED_BY_SPECIFICATION,"SRC-P-009-01"
P-009,kupit-minitraktor.ru,M03,6,VERIFIED_BY_SPECIFICATION,"SRC-P-009-01"
P-009,kupit-minitraktor.ru,M04,6,VERIFIED_BY_SPECIFICATION,"SRC-P-009-01"
P-009,kupit-minitraktor.ru,M05,6,VERIFIED_BY_SPECIFICATION,"SRC-P-009-01"
P-009,kupit-minitraktor.ru,M06,6,VERIFIED_BY_SPECIFICATION,"SRC-P-009-01"
P-009,kupit-minitraktor.ru,M07,4,VERIFIED_BY_SPECIFICATION,"SRC-P-009-01"
P-009,kupit-minitraktor.ru,M08,4,VERIFIED_BY_SPECIFICATION,"SRC-P-009-01"
P-010,kupit-minitraktor.ru,M01,6,VERIFIED_BY_SPECIFICATION,"SRC-P-010-01"
P-010,kupit-minitraktor.ru,M02,6,VERIFIED_BY_SPECIFICATION,"SRC-P-010-01"
P-010,kupit-minitraktor.ru,M03,6,VERIFIED_BY_SPECIFICATION,"SRC-P-010-01"
P-010,kupit-minitraktor.ru,M04,6,VERIFIED_BY_SPECIFICATION,"SRC-P-010-01"
P-010,kupit-minitraktor.ru,M05,6,VERIFIED_BY_SPECIFICATION,"SRC-P-010-01"
P-010,kupit-minitraktor.ru,M06,6,VERIFIED_BY_SPECIFICATION,"SRC-P-010-01"
P-010,kupit-minitraktor.ru,M07,4,VERIFIED_BY_SPECIFICATION,"SRC-P-010-01"
P-010,kupit-minitraktor.ru,M08,4,VERIFIED_BY_SPECIFICATION,"SRC-P-010-01"
